City	Index	Nonfarm employment	Size
Burlington-South Burlington, VT NECTA	32.4	124.5 	S 
Rochester, NY	32.3	536.9 	L 
Milwaukee-Waukesha-West Allis, WI	32.2	867.1 	L 
Vineland-Bridgeton, NJ	31.8	59.5 	S 
Macon, GA	31.8	103.2 	S 
East Stroudsburg, PA	31.8	58.3 	S 
Hartford-West Hartford-East Hartford, CT NECTA	31.8	577.5 	L 
Cape Girardeau, MO-IL	31.7	45.1 	S 
Albany, GA	31.6	63.6 	S 
Framingham, MA NECTA Division	31.1	173.1 	M 
Eau Claire, WI	30.9	86.1 	S 
Birmingham-Hoover, AL	30.8	531.1 	L 
Burlington, NC	30.6	61.5 	S 
Mobile, AL	30.2	184.9 	M 
Akron, OH	29.9	342.0 	M 
Grand Island, NE	29.8	42.2 	S 
Muncie, IN	29.7	52.8 	S 
Wilmington, DE-MD-NJ Metro Div	29.5	359.5 	M 
Glens Falls, NY	29.5	54.5 	S 
Dalton, GA	29.4	67.0 	S 
Columbus, GA-AL	29.1	122.1 	S 
Lewiston-Auburn, ME NECTA	28.9	51.1 	S 
Canton-Massillon, OH	28.9	173.5 	M 
Newark, NJ-PA Metro Div	28.8	1,208.5 	L 
Wichita Falls, TX	28.3	59.1 	S 
Casper, WY	28.3	38.4 	S 
Anniston-Oxford-Jacksonville, AL	28.2	47.2 	S 
Cedar Rapids, IA	28	144.3 	S 
Joplin, MO	27.9	81.6 	S 
Bloomsburg-Berwick, PA	27.9	42.4 	S 
Norwich-New London-Westerly, CT-RI NECTA	27.6	129.9 	S 
Lima, OH	27.6	53.5 	S 
Jacksonville, NC	27.5	49.3 	S 
Decatur, AL	27.5	54.4 	S 
Virginia Beach-Norfolk-Newport News, VA-NC	27.4	774.1 	L 
Toledo, OH	27.3	308.8 	M 
Niles-Benton Harbor, MI	26.8	61.5 	S 
Greensboro-High Point, NC	26.7	361.0 	M 
Danbury, CT NECTA	26.6	78.8 	S 
Great Falls, MT	26.5	35.9 	S 
Rockford, IL	26.2	151.4 	M 
Valdosta, GA	26.1	56.3 	S 
Corpus Christi, TX	25.5	191.0 	M 
California-Lexington Park, MD	25	44.9 	S 
Fayetteville, NC	24.8	130.9 	S 
Sebring, FL	24.8	25.7 	S 
Staunton-Waynesboro, VA	24.4	50.0 	S 
Longview, TX	24.4	97.0 	S 
Syracuse, NY	24.2	318.6 	M 
Topeka, KS	24.1	111.6 	S 
Johnson City, TN	24	79.9 	S 
Cleveland-Elyria, OH	23.4	1,051.9 	L 
Farmington, NM	23	49.2 	S 
Flint, MI	22.8	140.6 	S 
Racine, WI	22.8	77.3 	S 
Hot Springs, AR	22.8	37.5 	S 
Watertown-Fort Drum, NY	22.5	41.8 	S 
Sioux City, IA-NE-SD	22.4	87.1 	S 
New Haven, CT NECTA	22.3	282.6 	M 
Gulfport-Biloxi-Pascagoula, MS	22.3	154.8 	M 
Atlantic City-Hammonton, NJ	22.3	128.6 	S 
Lynchburg, VA	22.2	104.5 	S 
Dothan, AL	22.2	58.0 	S 
Cheyenne, WY	22	45.9 	S 
Blacksburg-Christiansburg-Radford, VA	21.9	75.9 	S 
Manhattan, KS	21.7	42.0 	S 
Battle Creek, MI	21.4	58.3 	S 
Kingsport-Bristol-Bristol, TN-VA	21.1	121.9 	S 
Cumberland, MD-WV	21.1	39.3 	S 
Altoona, PA	21	61.1 	S 
Grand Forks, ND-MN	20.9	56.5 	S 
Monroe, LA	20.5	78.7 	S 
Beaumont-Port Arthur, TX	20.2	163.6 	M 
Texarkana, TX-AR	19.8	60.4 	S 
Gary, IN Metro Div	19.8	275.9 	M 
Florence-Muscle Shoals, AL	19.5	56.4 	S 
New Bern, NC	19.5	44.6 	S 
Lawton, OK	19.4	45.8 	S 
Terre Haute, IN	19.2	71.0 	S 
Midland, MI	19	36.9 	S 
Carbondale-Marion, IL	18.7	57.2 	S 
Saginaw, MI	17.7	88.1 	S 
Jefferson City, MO	17.6	76.8 	S 
Springfield, IL	17.4	111.9 	S 
Bloomington, IN	17.1	76.3 	S 
Victoria, TX	17.1	40.8 	S 
Erie, PA	16.8	127.8 	S 
Pittsfield, MA NECTA	16.8	41.2 	S 
Bangor, ME NECTA	16.6	66.3 	S 
Wichita, KS	16.3	295.2 	M 
Homosassa Springs, FL	16.3	33.2 	S 
Decatur, IL	16.2	51.2 	S 
Utica-Rome, NY	16	126.2 	S 
Anchorage, AK	15.9	171.6 	M 
Santa Fe, NM	15.9	62.8 	S 
Waterloo-Cedar Falls, IA	15.8	90.4 	S 
Mansfield, OH	15.7	52.2 	S 
Roanoke, VA	15.7	159.8 	M 
Bridgeport-Stamford-Norwalk, CT NECTA	15.6	404.3 	M 
Las Cruces, NM	15.4	70.1 	S 
Waterbury, CT NECTA	15.1	67.1 	S 
Binghamton, NY	14.7	104.1 	S 
Huntington-Ashland, WV-KY-OH	14	138.3 	S 
Enid, OK	14	25.4 	S 
Williamsport, PA	13.9	53.2 	S 
Alexandria, LA	13.5	62.2 	S 
Fairbanks, AK	13.2	36.4 	S 
Springfield, OH	13.2	49.8 	S 
Bloomington, IL	12.9	93.4 	S 
Wheeling, WV-OH	12.5	66.5 	S 
Goldsboro, NC	12.1	41.8 	S 
Lafayette, LA	12.1	200.4 	M 
Fort Smith, AR-OK	11.4	112.0 	S 
Pine Bluff, AR	11.3	32.9 	S 
Bay City, MI	11.2	35.7 	S 
Peoria, IL	11.1	170.6 	M 
Houma-Thibodaux, LA	10.2	85.8 	S 
Beckley, WV	9.7	44.7 	S 
Michigan City-La Porte, IN	9.2	41.1 	S 
Shreveport-Bossier City, LA	9	178.9 	M 
Youngstown-Warren-Boardman, OH-PA	8.1	218.6 	M 
Rocky Mount, NC	8	56.3 	S 
Johnstown, PA	7.7	55.3 	S 
Danville, IL	7.7	28.1 	S 
Elmira, NY	6.8	36.9 	S 
Weirton-Steubenville, WV-OH	6.3	40.6 	S 
Charleston, WV	5.8	116.8 	S 
Parkersburg-Vienna, WV	5.4	39.8 	S 
Sierra Vista-Douglas, AZ	4.4	33.2 	S 
