AcresBurned	Year	month	Location	Name
380	2014	05	off Old Hwy 395 and I-15 in the Deer Springs area 	Highway Fire
350	2014	03	off Ave 66 and Pierce St in Thermal	Pierce Fire
333	2014	01	South of Berry Summit, west of Willow Creek	Red Fire
320	2014	09	Courtney Lane and 7 Hills Rd, Oakhurst	Courtney Fire
311	2014	10	Hwy 140 at Indian Creek, El Portal Community	Dog Rock Fire
300	2014	09	Highway 49 at Harris Road, 10 miles east of Mariposa	Bridge Fire
300	2014	07	Gun Club Rd. at the Santa Fe Canal, Gustine	Gun Club Fire
274	2014	08	18 miles north of Glendora, off Highway 39 and mile marker 28.	Tecolote Fire
269	2014	06	off La Grange Rd (J59) at Hetch Hetchy power lines, northwest shore of Don Pedro Reservoir	Hetch Hetchy Fire
247	2014	09	Off Dog Bar Rd & Taylor Crossing Rd near Alta Sierra	Dog Bar Fire
225	2014	06	Rancho Tehama, southwest of Red Bluff	Tehama Fire
217	2014	07	Banner Grade, east of Julian	Banner Fire
210	2014	09	1 mile northwest of Hoopa	Bald Hill 3 Fire
190	2014	08	upper end of East Fork San Gabriel River, North of Glendora	Shoemaker Fire
175	2014	05	Near Indian Valley Reservoir, East of Clearlake Oaks	Indian Fire
143	2014	07	off Hwy 299 & Dry Creek Rd, east of Bella Vista	Dry Fire
130	2014	06	Highway 49 and Haigh Rd., north of Coulterville	Haigh Fire
125	2014	06	Off Curie Drive south of San Jose	Curie Fire
125	2014	03	Off Interstate 8 & Sunrise Hwy, near Pine Valley	Gun Fire
120	2014	06	off George Reed Drive and Pool Station Road, San Andreas	Reed Fire
120	2014	01	off South Brewer Road, west of Roseville	Brewer Fire
113	2014	04	off Highway 6 & 5 Bridges Rd, 5 miles northeast of Bishop	Bridges Fire
106	2014	01	off Trimmer Springs Rd & Sunnyslope Rd near Pine Flat Lake 	Lake Fire
105	2014	05	North River Road and College Blvd., Oceanside	River Fire
101	2014	08	Northeast of Mud Springs, 9 miles South of Tionesta	Little Fire
100	2014	09	off Hwy 20 & Saratoga Road, west of Upper Lake	Saratoga Fire
100	2014	09	I-15 at Temescal Canyon Rd in Alberhill	Interstate Fire
94	2014	09	Mokelumne Wilderness	Irene Fire
90	2014	06	off Hunters Valley Road near the southeast shore of Lake McClure. 	Valley Fire
85	2014	06	Oak Valley Road at Pool Station Road, south of San Andreas	Oak Fire
84	2014	08	off Interstate 80 at Hirschdale, east of Truckee 	Boca Fire
80	2014	08	Hwy 152 at Casa De Fruta, 10 miles east of Gilroy	Casa Fire
80	2014	07	off Marsh Creek Rd., near Aspara Drive, east of Clayton	Marsh Fire
79	2014	09	Near Ponderosa Way & Tuolumne River Rd, south of Coulterville 	Montgomery Fire
78	2014	07	Sabina Road and Ballinger Road in the community of Aguanga	Sabina Fire
75	2014	07	Off Cassel Road at Thrush Road, in Cassel	Cassel Fire
75	2014	04	San Lucas & Jolon Rd, west of King City 	San Lucas Fire
72	2014	07	Wildlife Area - Larkin Road, west of Oroville<br><br>Road Closures: None, the Wildlife area north of the Afterbay Outlet is closed to the public.	Wildlife Fire
70	2014	09	Hwy 49 & Jacksonville Rd near the community of Moccasin	Jackson Fire
70	2014	07	Southwest of Greenhorn Summit	Ranch Fire
70	2014	06	off Rolling Hills Lane, north of Vacaville 	Norman Fire
65	2014	09	at the base of June Mountain	June Fire
62	2014	09	off Nelson Ranch Rd, 9 mile south of Ukiah	Nelson Fire
60	2014	01	off Palermo Honcut Highway and Ahart Road near the community of Honcut	Honcut Fire
57	2014	03	Off Ave 62 and Van Buren St in Thermal	Van Buren Fire
56	2014	05	Naval Weapons Station, Fallbrook	Freeway Fire 
50	2014	05	Off Perla Rd & Fiddlers Rd in Igo	Fiddler Fire
48	2014	10	in Chino Hills State Park near the Bane Canyon entrance	Bane Fire
47	2014	07	along Interlake Road between Monterey & San Luis Obispo County	Interlake Fire
40	2014	06	near the 16,000 block of Highway 168 near Prather	Morgan Fire
38	2014	07	on Hutto Rd & Keller Rd in Smartsville	Hutto Fire
37	2014	08	on Hwy 36 at McClellan Mountain Rd in Dinsmore	McClellan Fire
37	2014	05	Hwy 132 and Lake Rd near LaGrange	Lake Fire
31	2014	06	in Bogart Park in Cherry Valley	Bogart Fire
30	2014	07	Throughout Siskiyou County	Siskiyou County Lightning Fires
30	2014	07	off Mt Aukum Rd, Somerset 	Bible Fire
29	2014	05	Off Interstate 8, east of McCain Valley Rd, east of Boulevard	Jacumba Fire
27	2014	09	Berryessa Estates, North of Lake Berryessa	Stage Coach Fire
25	2014	09	off Foothill Rd near Ventura 	Foothill Fire 
25	2014	08	Hyrax Road at Dersch Road, east of Redding	Leopard Fire
25	2014	06	near Hwy 180 & Hall Lane near Squaw Valley	Hall Fire
20	2014	09	Desolation Wilderness, 8 miles west of South Lake Tahoe	Cascade Fire
20	2014	08	on Kuebler Ranch near Otay Mountain	Border Fire
18	2014	01	near the community of Bridgeville	Bridge Fire
15	2014	07	near the Trinity Pines community	West Fire
14	2014	07	Iowa Hill Road south of Colfax	Iowa Fire
14	2014	06	off Santa Rosa & Rancho California Road in Temecula 	Santa Fire
10	2014	08	Malum Ridge Road near Bass Lake	Pines Fire
6	2014	08	City and County of Napa	South Napa Earthquake
0	2014	08	in the Happy Camp area	Happy Camp Complex
151623	2015	07	5 miles North of Hume Lake and 2.5 miles to the southwest of Spanish Mountain 5	Rough Fire 
77081	2015	07	Near the communities of Dailey Ranch, Hoboken, Denny and Trinity Village.	River Complex
69438	2015	07	near Morgan Valley Road and Rocky Creek Road, east of Clear Lake	Rocky Fire
36503	2015	07	Near the communities of Hayfork, Hyampom, and Harrison Gulch,	Fork Complex
31359	2015	06	Off Hwy 38, south of Big Bear Lake	Lake Fire
30361	2015	07	Gasquet area	Gasquet Complex
29416	2015	07	Hyampom area	South Complex
25118	2015	08	Jerusalem Valley area, northeast of Middletown	Jerusalem Fire
25118	2015	08	Jerusalem Valley area, northeast of Middletown	Jerusalem Fire
10570	2015	08	17 miles northeast of Ravendale	Dodge Fire
7509	2015	08	near Orleans	Nickowitz Fire
7000	2015	02	Westside of Highway 395 at the Sherwin Grade	Round Fire
7000	2015	02	Westside of Highway 395 at the Sherwin Grade	Round Fire
6980	2015	07	Golden Trout Wilderness, Sequoia National Forest	Cabin Fire
5702	2015	07	off of Willow Canyon Drive and Road 274, southeast of Bass Lake	Willow Fire
4883	2015	07	Alder Point-Blocksburg, Southeastern Humboldt County	Humboldt Lightning Fires
4863	2015	07	SW of Lava Campground	Frog Fire
4250	2015	07	off Interstate 15, south of Oaks Hills, in the Cajon Pass area	North Fire
3676	2015	08	north of Walker Lake & north of June Lake Loop	Walker Fire
2700	2015	08	off Tesla Rd near Correl Hollow, between Livermore and Tracy	Tesla Fire
2446	2015	08	Off Highway 101 in the Cuesta Grade, north of San Luis Obispo	Cuesta Fire
2304	2015	07	In the Steep Hollow drainage west of Alta	Lowell Fire
1850	2015	08	Camp Pendleton	Horno Fire
1791	2015	06	Park Hill Rd & Las Pilitas Rd, east of Santa Margarita	Park Hill Fire
1542	2015	06	4 miles northwest of Hyampom	Saddle Fire 
1450	2015	07	off Hwy 152 & San Luis Creek, west of Santa Nella 	Creek Fire
1333	2015	07	off McCabe Rd and I-5, north of San Luis Reservoir	McCabe Fire
1086	2015	09	Tassajara Rd at Carmel Valley Rd	Tassajara Fire
1049	2015	04	at Hwy 71/Hwy 91 near the Prado Basin	Highway Fire
1042	2015	09	off Lumpkin Road and Forbestown Road, Robinson Mill	Lumpkin Fire
